compound,modifier,head,frequency_class,level
Jugendfreizeiteinrichtung,Jugend,Freizeiteinrichtung,19.0,2
Jugendfreizeitheim,Jugend,Freizeitheim,19.0,2
Jugendfreizeitstätte,Jugend,Freizeitstätte,18.0,2
Jugendfußballturnier,Jugend,Fußballturnier,19.0,2
Jungmusikerleistungsabzeichen,Jungmusiker,Leistungsabzeichen,nan,2
Juniorenfußballweltmeisterschaft,Junior,Fußballweltmeisterschaft,nan,2
Kabelleitungstiefbau,Kabelleitung,Tiefbau,nan,2
Kalksandsteinwerk,Kalksandstein,Werk,22.0,2
Kaltwasserheilanstalt,Kaltwasser,Heilanstalt,23.0,2
Kammermusikwettbewerb,Kammermusik,Wettbewerb,nan,2
Karfreitagsliturgie,Karfreitag,Liturgie,19.0,2
Kaufmannsgehilfenprüfung,Kaufmannsgehilfe,Prüfung,nan,2
Kernkraftwerksbetreiber,Kernkraftwerk,Betreiber,20.0,2
Kindergartenalltag,Kindergarten,Alltag,20.0,2
Kindertagesstättenplatz,Kindertagesstätte,Platz,21.0,2
Kirchensteueraufkommen,Kirche,Steueraufkommen,20.0,2
Kirchensteuereinnahme,Kirche,Steuereinnahme,18.0,2
Klarglasscheinwerfer,Klarglas,Scheinwerfer,nan,2
Kleintierzuchtverein,Kleintier,Zuchtverein,17.0,2
Kleintierzüchterverein,Kleintierzüchter,Verein,19.0,2
Klimaschutzmaßnahme,Klimaschutz,Maßnahme,19.0,2
Knochenmarkspenderdatei,Knochenmark,Spenderdatei,18.0,2
Kohlefaserverbundwerkstoff,Kohlefaser,Verbundwerkstoff,nan,3
Kohlenmonoxidvergiftung,Kohlenmonoxid,Vergiftung,20.0,2
Kohlenstoffkreislauf,Kohlenstoff,Kreislauf,21.0,2
Kohlenstoffmonoxid,Kohlenstoff,Monoxid,23.0,2
Kohlenwasserstoffkette,Kohlenwasserstoff,Kette,nan,2
Kohlenwasserstoffverbindung,Kohlenwasserstoff,Verbindung,21.0,2
Kompaktleuchtstofflampe,kompakt,Leuchtstofflampe,22.0,2
Konservierungsmittelrückstand,Konservierungsmittel,Rückstand,nan,2
Kopfsteinpflasterpassage,Kopfsteinpflaster,Passage,nan,2
Kopfsteinpflasterstraße,Kopfsteinpflaster,Straße,nan,2
Kopierschutzmaßnahme,kopieren,Schutzmaßnahme,nan,2
Korrosionsschutzmaßnahme,Korrosionsschutz,Maßnahme,nan,2
Kostensenkungsmaßnahme,Kostensenkung,Maßnahme,19.0,2
Kraftfahrtbundesamt,Kraftfahrt,Bundesamt,18.0,2
Kraftfahrzeugbau,Kraftfahrzeug,Bau,22.0,2
Kraftfahrzeugbrief,Kraftfahrzeug,Brief,22.0,2
Kraftfahrzeugelektriker,Kraftfahrzeug,Elektriker,22.0,2
Kraftfahrzeuggewerbe,Kraftfahrzeug,Gewerbe,19.0,2
Kraftfahrzeughaltung,Kraftfahrzeug,Haltung,nan,2
Kraftfahrzeughandel,Kraftfahrzeug,Handel,21.0,2
Kraftfahrzeughandwerk,Kraftfahrzeug,Handwerk,21.0,3
Kraftfahrzeughersteller,Kraftfahrzeug,Hersteller,20.0,2
Kraftfahrzeugindustrie,Kraftfahrzeug,Industrie,22.0,2
Kraftfahrzeuginstandsetzer,Kraftfahrzeug,Instandsetzer,nan,2
Kraftfahrzeugkennzeichen,Kraftfahrzeug,Kennzeichen,22.0,3
Kraftfahrzeugmechaniker,Kraftfahrzeug,Mechaniker,19.0,2
Kraftfahrzeugpflege,Kraftfahrzeug,Pflege,nan,2
Kraftfahrzeugschein,Kraftfahrzeug,Schein,21.0,2
Kraftfahrzeugsteuer,Kraftfahrzeug,Steuer,18.0,2
Kraftfahrzeugtechnik,Kraftfahrzeug,Technik,20.0,2
Kraftfahrzeugverkehr,Kraftfahrzeug,Verkehr,19.0,2
Kraftfahrzeugversicherung,Kraftfahrzeug,Versicherung,21.0,2
Kraftfahrzeugwesen,Kraftfahrzeug,wesen,23.0,2
Kraftfahrzeugzubehör,Kraftfahrzeug,Zubehör,nan,2
Kraftwerksneubau,Kraftwerk,Neubau,21.0,2
Kraftwerksstandort,Kraftwerk,Standort,20.0,2
Krankenhausalltag,Krankenhaus,Alltag,20.0,2
Krankenhausseelsorge,Krankenhaus,Seelsorge,19.0,2
Kreisfeuerwehrverband,Kreis,Feuerwehrverband,17.0,2
Kreislaufwirtschaftsgesetz,Kreislaufwirtschaft,Gesetz,19.0,2
Kreismitgliederversammlung,Kreis,Mitgliederversammlung,19.0,2
Kreistagsmitglied,Kreistag,Mitglied,16.0,2
Kreisvolkshochschule,Kreis,Volkshochschule,15.0,2
Kreisvorstandsmitglied,Kreisvorstand,Mitglied,19.0,2
Kriegswaffenkontrollgesetz,Kriegswaffenkontrolle,Gesetz,18.0,2
Kunststoffanteil,Kunststoff,Anteil,21.0,2
Kunststoffbearbeitungstechnik,Kunststoffbearbeitung,Technik,nan,2
Kunststofffolienkondensator,Kunststofffolie,Kondensator,nan,2
Kunststoffoberfläche,Kunststoff,Oberfläche,nan,2
Kunststoffschweißgerät,Kunststoff,Schweißgerät,nan,2
Kunstturneuropameisterschaft,Kunstturnen,Europameisterschaft,nan,2
Kurzfilmwettbewerb,Kurzfilm,Wettbewerb,20.0,2
Kurzstreckenflugzeug,Kurzstrecke,Flugzeug,nan,2
Körperfettanteil,Körperfett,Anteil,nan,2
Küstenschutzmaßnahme,Küstenschutz,Maßnahme,23.0,2
Landesbausparkasse,Land,Bausparkasse,18.0,2
Landesdatenschutzbeauftragte,Land,Datenschutzbeauftragte,nan,2
Landesdatenschutzgesetz,Land,Datenschutzgesetz,23.0,2
Landesdenkmalamt,Land,Denkmalamt,17.0,2
Landesdenkmalpflege,Land,Denkmalpflege,20.0,2
Landesdenkmalpfleger,Land,Denkmalpfleger,21.0,2
Landeselternbeirat,Land,Elternbeirat,19.0,2
Landesfeuerwehrverband,Land,Feuerwehrverband,17.0,2
Landesgleichstellungsgesetz,Land,Gleichstellungsgesetz,20.0,2
Landeshochschulgesetz,Land,Hochschulgesetz,21.0,2
Landeskirchenmusikdirektor,Landeskirche,Musikdirektor,21.0,2
Landesmitgliederversammlung,Land,Mitgliederversammlung,19.0,2
Landesnaturschutzgesetz,Land,Naturschutzgesetz,21.0,2
Landespersonalvertretungsgesetz,Land,Personalvertretungsgesetz,22.0,2
Landesrundfunkanstalt,Land,Rundfunkanstalt,19.0,2
Landestierärztekammer,Land,Tierärztekammer,nan,2
Landesumweltamt,Land,Umweltamt,18.0,2
Landesumweltminister,Land,Umweltminister,20.0,2
Landesumweltministerium,Land,Umweltministerium,19.0,2
Landesvorstandsmitglied,Landesvorstand,Mitglied,19.0,2
Landeswohlfahrtsverband,Land,Wohlfahrtsverband,17.0,2
Landtagsmitglied,Landtag,Mitglied,19.0,2
Landtagswahlkampf,Landtag,Wahlkampf,16.0,2
Landtagswahlkreis,Landtag,Wahlkreis,20.0,2
Landtagswahlprogramm,Landtag,Wahlprogramm,21.0,2
Landtagswahlrecht,Landtagswahl,Recht,21.0,2
Landvolkshochschule,Land,Volkshochschule,nan,2
Langohrfledermaus,Langohr,Fledermaus,nan,2
Langstreckenflugzeug,Langstrecke,Flugzeug,18.0,2
Laufwasserkraftwerk,Lauf,Wasserkraftwerk,21.0,2
Lebensabschnittspartner,Lebensabschnitt,Partner,21.0,2
Lebensarbeitszeitkonto,Lebensarbeitszeit,Konto,21.0,2
Lebenshaltungskostenindex,Lebenshaltungskosten,Index,22.0,2
Lebensmitteleinzelhandel,Lebensmittel,Einzelhandel,17.0,2
Lebensmitteleinzelhändler,Lebensmittel,Einzelhändler,21.0,2
Lebensmittelfarbstoff,Lebensmittel,Farbstoff,nan,2
Lebensmittelgroßhandel,Lebensmittel,Großhandel,21.0,2
Lebensmittelgutschein,Lebensmittel,Gutschein,21.0,2
Lebensmittelhandwerk,Lebensmittel,Handwerk,21.0,2
Lebensmittelzusatzstoff,Lebensmittel,Zusatzstoff,20.0,2
Lehramtsstudiengang,Lehramt,Studiengang,20.0,2
Leichtathletikeuropameisterschaft,Leichtathletik,Europameisterschaft,nan,2
Leichtathletiknationalmannschaft,Leichtathletik,Nationalmannschaft,nan,2
Leichtathletikweltrekord,Leichtathletik,Weltrekord,nan,2
Leichtathletikweltverband,Leichtathletik,Weltverband,nan,2
Leichtathletikwettbewerb,Leichtathletik,Wettbewerb,22.0,2
Leichtathletikwettkampf,Leichtathletik,Wettkampf,21.0,2
Leichtflugzeugbauer,Leichtflugzeug,Bauer,nan,2
Leuchtröhrenglasbläser,Leuchtröhre,Glasbläser,nan,2
Literaturnobelpreisträger,Literaturnobelpreis,Träger,17.0,2
Lohnsteuerjahresausgleich,Lohnsteuer,Jahresausgleich,20.0,2
Lohnsteuerrichtlinie,Lohnsteuer,Richtlinie,22.0,2
Luftbrückendenkmal,Luftbrücke,Denkmal,21.0,2
Luftfahrtbundesamt,Luftfahrt,Bundesamt,18.0,2
Luftfahrtdrehkreuz,Luftfahrt,Drehkreuz,nan,2
Luftkissenfahrzeug,Luftkissen,Fahrzeug,22.0,2
Luftverkehrskauffrau,Luftverkehr,Kauffrau,nan,2
Luftverkehrskaufmann,Luftverkehr,Kaufmann,nan,2
Luftwaffenmusikkorps,Luftwaffe,Musikkorps,20.0,2
Luftwaffenstützpunkt,Luftwaffe,Stützpunkt,17.0,2
Lärmschutzmaßnahme,Lärmschutz,Maßnahme,17.0,2
Magenschleimhautentzündung,Magenschleimhaut,Entzündung,21.0,2
Marktanteilsgewinn,Marktanteil,Gewinn,20.0,2
Mausohrfledermaus,Mausohr,Fledermaus,nan,2
Medizinnobelpreisträger,Medizinnobelpreis,Träger,nan,2
Meerwasserentsalzungsanlage,Meerwasserentsalzung,Anlage,21.0,2
Mehrwertdiensterufnummer,Mehrwertdienst,Rufnummer,nan,3
Mehrwertsteuererhöhung,Mehrwertsteuer,Erhöhung,15.0,2
Mehrwertsteuersatz,Mehrwertsteuer,Satz,16.0,2
Mehrwertsteuersenkung,Mehrwertsteuer,Senkung,nan,2
Menschenrechtsgerichtshof,Menschenrecht,Gerichtshof,19.0,2
Mietrechtsänderungsgesetz,Mietrecht,Änderungsgesetz,24.0,2
Mikrocomputerbaustein,Mikrocomputer,Baustein,nan,2
Mineralölsteuererhöhung,Mineralölsteuer,Erhöhung,19.0,2
Mineralölwirtschaftsverband,Mineralölwirtschaft,Verband,18.0,2
Miteigentumsanteil,Miteigentum,Anteil,19.0,2
Mitgliederrückgang,Mitglied,Rückgang,19.0,2
Mitgliedervollversammlung,Mitglied,Vollversammlung,19.0,2
Mitgliederzeitschrift,Mitglied,Zeitschrift,19.0,2
Mitgliedshochschule,Mitglied,Hochschule,nan,2
Mittelklassefahrzeug,Mittelklasse,Fahrzeug,21.0,2
Mittelstandsanleihe,Mittelstand,Anleihe,nan,2
Mobilfunknetzbetreiber,Mobilfunknetz,Betreiber,20.0,2
Mobilfunkrufnummer,Mobilfunk,Rufnummer,nan,2
Mobilfunktelefonnummer,Mobilfunk,Telefonnummer,nan,2
Modelleisenbahnanlage,Modelleisenbahn,Anlage,20.0,2
Motorradführerschein,Motorrad,Führerschein,20.0,2
Motorradrennfahrer,Motorrad,Rennfahrer,19.0,2
Motorradweltmeister,Motorrad,Weltmeister,nan,2
Mundartwörterbuch,Mundart,Wörterbuch,nan,2
Männerhandballnationalmannschaft,Mann,Handballnationalmannschaft,nan,3
Müllheizkraftwerk,Müll,Heizkraftwerk,18.0,2
Nachttischschublade,Nachttisch,Schublade,22.0,2
Nahbereichsnetzwerk,Nahbereich,Netzwerk,nan,2
Nahostfriedensprozess,Nahost,Friedensprozess,21.0,2
Nahrungsmittelhandwerk,Nahrungsmittel,Handwerk,20.0,2
Naturschutzbeirat,Naturschutz,Beirat,19.0,2
Naturschutzmaßnahme,Naturschutz,Maßnahme,20.0,2
Natursteinbauteil,Naturstein,Bauteil,nan,2
Naturwerksteinarbeit,Naturwerkstein,Arbeit,nan,2
Naturwerksteinbearbeitung,Naturwerkstein,Bearbeitung,nan,2
Naturwerksteinbelag,Naturwerkstein,Belag,nan,2
Naturwerksteinfassade,Naturwerkstein,Fassade,nan,2
Naturwerksteinindustrie,Naturwerkstein,Industrie,nan,2
Naturwerksteinmechaniker,Naturwerkstein,Mechaniker,nan,2
Naturwerksteinobjekt,Naturwerkstein,Objekt,nan,2
Naturwerksteinprodukt,Naturwerkstein,Produkt,nan,2
Nebenerwerbslandwirt,Nebenerwerb,Landwirt,18.0,2
Nebenerwerbslandwirtschaft,Nebenerwerb,Landwirtschaft,21.0,2
Nebenkriegsschauplatz,neben,Kriegsschauplatz,18.0,2
Netzwerkschnittstelle,Netzwerk,Schnittstelle,nan,2
Neubauabschnitt,Neubau,Abschnitt,22.0,2
Neubaumaßnahme,neu,Baumaßnahme,19.0,2
Neujahrsfeuerwerk,Neujahr,Feuerwerk,22.0,2
Neujahrsgottesdienst,Neujahr,Gottesdienst,21.0,2
Neujahrsvorsatz,Neujahr,Vorsatz,nan,2
Nichtraucherschutzgesetz,Nichtraucherschutz,Gesetz,17.0,2
Nordseeheilbad,Nordsee,Heilbad,21.0,2
Notfallkrankenwagen,Notfall,Krankenwagen,nan,2
Notfallmaßnahme,Notfall,Maßnahme,20.0,2
Notfallseelsorge,Notfall,Seelsorge,19.0,2
Nothilfemaßnahme,Nothilfe,Maßnahme,nan,2
Notstandsgesetzgebung,Notstand,Gesetzgebung,21.0,2
Nutzfahrzeugbau,Nutzfahrzeug,Bau,23.0,2
Nutzfahrzeugbereich,Nutzfahrzeug,Bereich,20.0,2
Nutzfahrzeuggeschäft,Nutzfahrzeug,Geschäft,19.0,2
Nutzfahrzeughersteller,Nutzfahrzeug,Hersteller,18.0,2
Nutzfahrzeugindustrie,Nutzfahrzeug,Industrie,21.0,2
Nutzfahrzeugmarkt,Nutzfahrzeug,Markt,21.0,2
Nutzfahrzeugreifen,Nutzfahrzeug,Reifen,nan,2
Nährstoffkreislauf,Nährstoff,Kreislauf,nan,2
Oberbergamtsbezirk,Oberbergamt,Bezirk,nan,2
Oberbürgermeisteramt,Oberbürgermeister,Amt,19.0,2
Oberbürgermeisterkandidat,Oberbürgermeister,Kandidat,18.0,2
Oberbürgermeisterwahl,Oberbürgermeister,Wahl,17.0,2
Oberbürgermeisterwahlkampf,Oberbürgermeister,Wahlkampf,21.0,3
Oberflächenbehandlungsverfahren,Oberflächenbehandlung,Verfahren,nan,2
Oberklassefahrzeug,Oberklasse,Fahrzeug,nan,2
Oberschenkelhalsbruch,Oberschenkelhals,Bruch,18.0,2
Obstanbaugebiet,Obstanbau,Gebiet,20.0,2
Ortsnetzkennzahl,Ortsnetz,Kennzahl,22.0,2
Ostseeautobahn,Ostsee,Autobahn,19.0,2
Patentanwaltsfachangestellter,Patentanwalt,Fachangestellter,nan,2
Personalratsmitglied,Personalrat,Mitglied,21.0,2
Personenkraftwagentechnik,Personenkraftwagen,Technik,nan,2
Pfarrgemeinderatswahl,Pfarrgemeinderat,Wahl,18.0,2
Pflanzenschutzmaßnahme,Pflanzenschutz,Maßnahme,21.0,2
Physiknobelpreisträger,Physiknobelpreis,Träger,22.0,2
Polizeidienstvorschrift,Polizei,Dienstvorschrift,24.0,2
Polizeifachhochschule,Polizei,Fachhochschule,22.0,2
Postverkehrskauffrau,Postverkehr,Kauffrau,nan,2
Postverkehrskaufmann,Postverkehr,Kaufmann,nan,2
Privathaftpflichtversicherung,privat,Haftpflichtversicherung,20.0,2
Profifußballspieler,Profi,Fußballspieler,nan,2
Prozesskostenbeihilfe,Prozesskosten,Beihilfe,22.0,2
Pumpspeicherkraftwerk,Pumpe,Speicherkraftwerk,nan,2
Qualitätssicherungsmaßnahme,Qualitätssicherung,Maßnahme,nan,2
Quecksilberdampflampe,Quecksilberdampf,Lampe,22.0,2
Radsportweltverband,Radsport,Weltverband,nan,2
Radverkehrsanteil,Radverkehr,Anteil,nan,2
Rainfarnblattkäfer,Rainfarn,Blattkäfer,nan,2
Rathausinnenhof,Rathaus,Innenhof,nan,2
Rathausneubau,Rathaus,Neubau,19.0,2
Rathausvorplatz,Rathaus,Vorplatz,18.0,2
Rauchgasentschwefelungsanlage,Rauchgas,Entschwefelungsanlage,21.0,2
Raumfahrtbahnhof,Raumfahrt,Bahnhof,21.0,2
Rechnungslegungsvorschrift,Rechnungslegung,Vorschrift,21.0,2
Rechteckquerschnitt,Rechteck,Querschnitt,nan,2
Rechtsanwaltsfachangestellter,Rechtsanwalt,Fachangestellter,nan,2
Regenwassernutzungsanlage,Regenwassernutzung,Anlage,20.0,2
Reichsbahnausbesserungswerk,Reichsbahn,Ausbesserungswerk,21.0,2
Reichsluftfahrtministerium,Reich,Luftfahrtministerium,20.0,2
Reichsparteitagsgelände,Reichsparteitag,Gelände,17.0,2
Reichsstrafgesetzbuch,Reich,Strafgesetzbuch,23.0,2
Reisebürokauffrau,Reisebüro,Kauffrau,nan,2
Reisebürokaufmann,Reisebüro,Kaufmann,nan,2
Reiserücktrittsversicherung,Reiserücktritt,Versicherung,20.0,2
Reiseverkehrskauffrau,Reiseverkehr,Kauffrau,20.0,2
Reiseverkehrskaufmann,Reiseverkehr,Kaufmann,20.0,2
Richtlinienvorschlag,Richtlinie,Vorschlag,20.0,2
Roggenvollkornmehl,Roggen,Vollkornmehl,nan,2
Rundfunkgebührenstaatsvertrag,Rundfunkgebühr,Staatsvertrag,nan,3
Rundfunkstaatsvertrag,Rundfunk,Staatsvertrag,18.0,2
Rückrundenauftakt,Rückrunde,Auftakt,17.0,2
Rückrundenspieltag,Rückrunde,Spieltag,19.0,2
Saisonkurzarbeitergeld,Saison,Kurzarbeitergeld,nan,2
Sauerstoffanteil,Sauerstoff,Anteil,21.0,2
Schadensbegrenzungsmaßnahme,Schadensbegrenzung,Maßnahme,nan,2
Schadstoffgrenzwert,Schadstoff,Grenzwert,21.0,2
Schallschutzmaßnahme,Schallschutz,Maßnahme,19.0,2
Schienenfahrzeugbau,Schiene,Fahrzeugbau,21.0,2
Schienenpersonennahverkehr,Schiene,Personennahverkehr,18.0,2
Schifffahrtskauffrau,Schifffahrt,Kauffrau,nan,2
Schifffahrtskaufmann,Schifffahrt,Kaufmann,23.0,2
Schifffahrtspolizeiverordnung,Schifffahrtspolizei,Verordnung,nan,2
Schilddrüsenunterfunktion,Schilddrüse,Unterfunktion,21.0,2
Schilddrüsenüberfunktion,Schilddrüse,Überfunktion,21.0,2
Schneidwerkzeugmechaniker,Schneidwerkzeug,Mechaniker,nan,2
Schreibtischschublade,Schreibtisch,Schublade,19.0,2
Schuhmacherhandwerk,Schuhmacher,Handwerk,21.0,2
Schulbushaltestelle,Schulbus,Haltestelle,19.0,2
Schwarzmeerhalbinsel,Schwarzmeer,Halbinsel,nan,2
Schwergewichtsweltmeister,Schwergewicht,Weltmeister,19.0,2
Seenotrettungsdienst,Seenot,Rettungsdienst,21.0,2
Seenotrettungskreuzer,Seenotrettung,Kreuzer,20.0,2
Selbstbedienungstankstelle,Selbstbedienung,Tankstelle,nan,2
Selbsthilfekontaktstelle,Selbsthilfe,Kontaktstelle,20.0,2
Seniorenfreizeitstätte,Senior,Freizeitstätte,19.0,2
Softwareentwicklerarbeitsplatz,Softwareentwickler,Arbeitsplatz,nan,2
Sonnabendnachmittag,Sonnabend,Nachmittag,19.0,2
Sonnabendvormittag,Sonnabend,Vormittag,20.0,2
Sonnenuntergangsstimmung,Sonnenuntergang,Stimmung,nan,2
Sonnenwendwolfsmilch,Sonnenwende,Wolfsmilch,nan,2
Sonntagnachmittag,Sonntag,Nachmittag,14.0,2
Sonntagsfahrverbot,Sonntag,Fahrverbot,19.0,2
Sonntagsfrühstück,Sonntag,Frühstück,20.0,2
Sonntagsgottesdienst,Sonntag,Gottesdienst,17.0,2
Sonntagvormittag,Sonntag,Vormittag,16.0,2
Sozialversicherungsfachangestellter,Sozialversicherung,Fachangestellter,nan,2
Spargelanbaugebiet,Spargelanbau,Gebiet,nan,2
Spielzeugeisenbahn,Spielzeug,Eisenbahn,20.0,2
Spielzeugrennbahn,Spielzeug,Rennbahn,nan,2
Spitzenlastkraftwerk,Spitzenlast,Kraftwerk,23.0,2
Sportbootführerschein,Sportboot,Führerschein,20.0,2
Sprichwortwörterbuch,Sprichwort,Wörterbuch,nan,2
Stadtbahnhaltestelle,Stadtbahn,Haltestelle,20.0,2
Stadtratsmitglied,Stadtrat,Mitglied,16.0,2
Stadtteilbeirat,Stadtteil,Beirat,21.0,2
Stahlbetonbauweise,Stahlbeton,Bauweise,nan,2
Stahlbetonfertigteil,Stahlbeton,Fertigteil,nan,2
Stahlskelettbauweise,Stahl,Skelettbauweise,23.0,2
Standortvorteil,Standort,Vorteil,16.0,2
Standortwettbewerb,Standort,Wettbewerb,18.0,2
Standortübungsplatz,Standort,Übungsplatz,20.0,2
Steinbildhauerarbeit,Steinbildhauer,Arbeit,nan,2
Steinbildhauerhandwerk,Steinbildhauer,Handwerk,nan,3
Steinkohlebergbau,Steinkohle,Bergbau,18.0,2
Steinkohlekraftwerk,Steinkohle,Kraftwerk,18.0,2
Steinkohlenbergwerk,Steinkohle,Bergwerk,23.0,2
Steinmetzwerkzeug,Steinmetz,Werkzeug,nan,2
Steuermehreinnahme,Steuer,Mehreinnahme,17.0,2
Steuermindereinnahme,Steuer,Mindereinnahme,19.0,2
Stimmrechtsanteil,Stimmrecht,Anteil,19.0,2
Strafrechtsänderungsgesetz,Strafrecht,Änderungsgesetz,20.0,2
Strafverfolgungsmaßnahme,Strafverfolgung,Maßnahme,22.0,2
Straßenbahnfahrzeug,Straßenbahn,Fahrzeug,nan,2
Straßenbahnhaltestelle,Straßenbahn,Haltestelle,17.0,2
Straßenbaumaßnahme,Straßenbau,Maßnahme,17.0,2
Straßenpersonennahverkehr,Straße,Personennahverkehr,nan,2
Straßenverkehrsordnungsverbot,Straßenverkehrsordnung,Verbot,nan,2
Streuobstanbau,Streuobst,Anbau,nan,2
Strickleiternervensystem,Strickleiter,Nervensystem,nan,2
Studentenverbindungsmitglied,Studentenverbindung,Mitglied,nan,2
Sturzkampfflugzeug,Sturz,Kampfflugzeug,nan,2
Städtebaufördermittel,Städtebau,Fördermittel,21.0,2
Städtebauförderungsprogramm,Städtebauförderung,Programm,20.0,2
Südwestfriedhof,Südwesten,Friedhof,nan,2
Süßwasserzierfisch,Süßwasser,Zierfisch,nan,2
Tageskilometerzähler,Tag,Kilometerzähler,23.0,2
Tanklöschfahrzeug,Tank,Löschfahrzeug,16.0,2
Tatbestandsmerkmal,Tatbestand,Merkmal,20.0,2
Teilzeitarbeitsplatz,Teilzeit,Arbeitsplatz,18.0,2
Teledienstedatenschutzgesetz,Teledienst,Datenschutzgesetz,nan,3
Telekommunikationsdienstleistung,Telekommunikation,Dienstleistung,20.0,2
Tiefbauamtsleiter,Tiefbauamt,Leiter,20.0,2
Tiefbaufacharbeiter,Tiefbau,Facharbeiter,nan,2
Tiefbaumaßnahme,Tiefbau,Maßnahme,20.0,2
Tiefgaragenstellplatz,Tiefgarage,Stellplatz,22.0,2
Tieflandregenwald,Tiefland,Regenwald,nan,2
Tierkörperbeseitigungsanstalt,Tierkörperbeseitigung,Anstalt,20.0,2
Tischtennisbundesliga,Tischtennis,Bundesliga,nan,2
Tollwutimpfstoff,Tollwut,Impfstoff,nan,2
Tonfilmzeitalter,Tonfilm,Zeitalter,nan,2
Torwarthandschuh,Torwart,Handschuh,20.0,2
Treibhausgasemission,Treibhausgas,Emission,18.0,2
Triebfahrzeugführer,Triebfahrzeug,Führer,20.0,2
Trinkwasseraufbereitungsanlage,Trinkwasseraufbereitung,Anlage,20.0,2
Trinkwasserschutzgebiet,Trinkwasser,Schutzgebiet,20.0,2
Uhrmacherhandwerk,Uhrmacher,Handwerk,22.0,2
Umweltbeirat,Umwelt,Beirat,21.0,2
Umweltbundesamt,Umwelt,Bundesamt,15.0,2
Umweltfachkraft,Umwelt,Fachkraft,nan,2
Umweltforschungszentrum,Umweltforschung,Zentrum,21.0,2
Umweltgesetzbuch,Umwelt,Gesetzbuch,19.0,2
Umweltgesetzgebung,Umwelt,Gesetzgebung,20.0,2
Umweltgesichtspunkt,Umwelt,Gesichtspunkt,20.0,2
Umweltmanagementsystem,Umweltmanagement,System,19.0,2
Umweltmaßnahme,Umwelt,Maßnahme,19.0,2
Umweltministerkonferenz,Umweltminister,Konferenz,20.0,2
Umweltrichtlinie,Umwelt,Richtlinie,21.0,2
Umweltschadstoff,Umwelt,Schadstoff,20.0,2
Umweltschutzaktion,Umweltschutz,Aktion,21.0,2
Umweltschutzamt,Umweltschutz,Amt,19.0,2
Umweltschutzauflage,Umweltschutz,Auflage,20.0,2
Umweltschutzbeauftragte,Umweltschutz,Beauftragte,20.0,2
Umweltschutzbehörde,Umweltschutz,Behörde,19.0,2
Umweltschutzbestimmung,Umweltschutz,Bestimmung,20.0,2
Umweltschutzbewegung,Umweltschutz,Bewegung,20.0,2
Umweltschutzgesetz,Umweltschutz,Gesetz,19.0,2
Umweltschutzgruppe,Umweltschutz,Gruppe,18.0,2
Umweltschutzmaßnahme,Umweltschutz,Maßnahme,18.0,3
Umweltschutzorganisation,Umweltschutz,Organisation,15.0,2
Umweltschutzpolitik,Umweltschutz,Politik,21.0,2
Umweltschutzprojekt,Umweltschutz,Projekt,20.0,2
Umweltschutzstandard,Umweltschutz,Standard,22.0,2
Umweltschutztechnik,Umweltschutz,Technik,21.0,2
Umweltschutzverband,Umweltschutz,Verband,18.0,2
Umweltschutzvorschrift,Umweltschutz,Vorschrift,21.0,3
Umweltstaatssekretär,Umwelt,Staatssekretär,18.0,2
Umweltstadtrat,Umwelt,Stadtrat,17.0,2
Umweltstrafrecht,Umwelt,Strafrecht,21.0,2
Umweltvorschrift,Umwelt,Vorschrift,19.0,2
Umweltvorteil,Umwelt,Vorteil,21.0,2
Unfallverhütungsvorschrift,Unfallverhütung,Vorschrift,19.0,2
Unterhautfettgewebe,Unterhaut,Fettgewebe,nan,2
Verkaufsförderungsmaßnahme,Verkaufsförderung,Maßnahme,nan,2
Verwaltungsfachhochschule,Verwaltung,Fachhochschule,20.0,2
Verwaltungsratsmitglied,Verwaltungsrat,Mitglied,18.0,2
Viertelfinalrückspiel,Viertelfinale,Rückspiel,nan,2
Vierteljahreszeitschrift,Vierteljahr,Zeitschrift,21.0,2
Vogelschutzrichtlinie,Vogelschutz,Richtlinie,19.0,2
Volkshochschulkurs,Volkshochschule,Kurs,18.0,2
Volkshochschulleiter,Volkshochschule,Leiter,22.0,2
Volkshochschulverband,Volkshochschule,Verband,20.0,2
Volleyballbundesliga,Volleyball,Bundesliga,nan,2
Vollzeitarbeitsplatz,Vollzeit,Arbeitsplatz,19.0,2
Vorjahreshalbjahr,Vorjahr,Halbjahr,21.0,2
Vorjahreszeitraum,Vorjahr,Zeitraum,14.0,2
Vorortbahnhof,Vorort,Bahnhof,22.0,2
Vorruhestandsregelung,Vorruhestand,Regelung,17.0,2
Vorrundenspieltag,Vorrunde,Spieltag,19.0,2
Völkerstrafgesetzbuch,Volk,Strafgesetzbuch,nan,2
Wachstuchtischdecke,Wachstuch,Tischdecke,nan,2
Wahlkampfauftakt,Wahlkampf,Auftakt,17.0,2
Wahlkampfendspurt,Wahlkampf,Endspurt,21.0,2
Wahlkampfkostenerstattung,Wahlkampf,Kostenerstattung,19.0,2
Wasserrahmenrichtlinie,Wasser,Rahmenrichtlinie,20.0,2
Wasserstoffverbrennungsmotor,Wasserstoff,Verbrennungsmotor,nan,2
Wehrmachtsbefehlshaber,Wehrmacht,Befehlshaber,nan,2
Weinanbaufläche,Weinanbau,Fläche,nan,2
Weinanbaugebiet,Weinanbau,Gebiet,17.0,2
Weizenvollkornmehl,Weizen,Vollkornmehl,22.0,2
