compound,modifier,head,frequency_class
Amateurabteilung,Amateur,Abteilung,20.0
Amateurastronom,Amateur,Astronom,20.0
Amateurband,Amateur,Band,21.0
Amateurbasis,Amateur,Basis,
Amateurbereich,Amateur,Bereich,18.0
Amateurbestimmung,Amateur,Bestimmung,
Amateurboxen,Amateur,Boxen,20.0
Amateurboxer,Amateur,Boxer,19.0
Amateurfahrer,Amateur,Fahrer,20.0
Amateurfilm,Amateur,Film,20.0
Amateurfilmer,Amateur,Filmer,20.0
Amateurfoto,Amateur,Foto,22.0
Amateurfotograf,Amateur,Fotograf,19.0
Amateurfunk,Amateur,Funk,19.0
Amateurfunkdienst,Amateur,Funkdienst,
Amateurfunker,Amateur,Funker,19.0
Amateurfußball,Amateur,Fußball,18.0
Amateurfußballer,Amateur,Fußballer,20.0
Amateurgolfer,Amateur,Golfer,
Amateurkamera,Amateur,Kamera,23.0
Amateurkampf,Amateur,Kampf,21.0
Amateurkarriere,Amateur,Karriere,
Amateurklasse,Amateur,Klasse,18.0
Amateurklub,Amateur,Klub,19.0
Amateurkoch,Amateur,Koch,22.0
Amateurlager,Amateur,Lager,20.0
Amateurliga,Amateur,Liga,18.0
Amateurmannschaft,Amateur,Mannschaft,18.0
Amateurmeister,Amateur,Meister,20.0
Amateurmeisterschaft,Amateur,Meisterschaft,20.0
Amateurmusiker,Amateur,Musiker,20.0
Amateurnationalmannschaft,Amateur,Nationalmannschaft,
Amateuroberliga,Amateur,Oberliga,22.0
Amateurorchester,Amateur,Orchester,22.0
Amateurradler,Amateur,Radler,
Amateurregel,Amateur,Regel,23.0
Amateurrennen,Amateur,Rennen,20.0
Amateurschauspieler,Amateur,Schauspieler,20.0
Amateurspieler,Amateur,Spieler,19.0
Amateursport,Amateur,Sport,19.0
Amateursportler,Amateur,Sportler,20.0
Amateurstatus,Amateur,Status,20.0
Amateurteam,Amateur,Team,18.0
Amateurtheater,Amateur,Theater,18.0
Amateurtrainer,Amateur,Trainer,19.0
Amateurturnier,Amateur,Turnier,21.0
Amateurverein,Amateur,Verein,18.0
Amateurvideo,Amateur,Video,20.0
Amateurweltmeisterschaft,Amateur,Weltmeisterschaft,
Amazonasbecken,Amazonas,Becken,19.0
Amazonasgebiet,Amazonas,Gebiet,18.0
Amazonasregion,Amazonas,Region,
Amazonastiefland,Amazonas,Tiefland,
Amazonenpapagei,Amazonas,Papagei,
Amberbaum,Amber,Baum,22.0
Ambulanzpfleger,Ambulanz,Pfleger,
Ambulanzwagen,Ambulanz,Wagen,20.0
Ameisenart,Ameise,Art,20.0
Ameisenbau,Ameise,Bau,22.0
Ameisenbaum,Ameise,Baum,
Ameisenbär,Ameise,Bär,20.0
Ameisenhaufen,Ameise,Haufen,18.0
Ameisenhügel,Ameise,Hügel,21.0
Ameisenigel,Ameise,Igel,22.0
Ameisenjungfer,Ameise,Jungfer,23.0
Ameisenkolonie,Ameise,Kolonie,
Ameisenlöwe,Ameise,Löwe,21.0
Ameisennest,Ameise,Nest,22.0
Ameisenstaat,Ameise,Staat,21.0
Ameisenstock,Ameise,Stock,
Ameisenstraße,Ameise,Straße,20.0
Ameisensäure,Ameise,Säure,19.0
Ameisenvolk,Ameise,Volk,21.0
Ameisenwespe,Ameise,Wespe,
Amerikaaufenthalt,Amerika,Aufenthalt,
Amerikahaus,Amerika,Haus,19.0
Amerikareise,Amerika,Reise,20.0
Aminogruppe,amino,Gruppe,23.0
Aminosäure,amino,Säure,17.0
Aminosäurekette,Aminosäure,Kette,
Aminosäuresequenz,Aminosäure,Sequenz,21.0
Amischlitten,Ami,Schlitten,22.0
Ammenhai,Amme,Hai,23.0
Ammenmärchen,Amme,Märchen,19.0
Ammoniakgeruch,Ammoniak,Geruch,
Ammoniaklösung,Ammoniak,Lösung,23.0
Ammoniaksynthese,Ammoniak,Synthese,22.0
Ammoniumnitrat,Ammonium,Nitrat,20.0
Ammoniumsulfat,Ammonium,Sulfat,
Amnestiegesetz,Amnestie,Gesetz,18.0
Amnestieregelung,Amnestie,Regelung,21.0
Amokfahrer,Amok,Fahrer,19.0
Amokfahrt,Amok,Fahrt,18.0
Amoklauf,Amok,Lauf,14.0
Amokläufer,Amok,Läufer,16.0
Amokschütze,Amok,Schütze,18.0
Ampelanlage,Ampel,Anlage,16.0
Ampelfarbe,Ampel,Farbe,20.0
Ampelkarte,Ampel,Karte,16.0
Ampelkoalition,Ampel,Koalition,16.0
Ampelkreuzung,Ampel,Kreuzung,19.0
Ampelmast,Ampel,Mast,19.0
Ampelmännchen,Ampel,Männchen,19.0
Ampelphase,Ampel,Phase,19.0
Ampelregelung,Ampel,Regelung,17.0
Ampelsteuerung,Ampel,Steuerung,20.0
Ampelsystem,Ampel,System,21.0
Amperestunde,Ampere,Stunde,22.0
Ampfereule,Ampfer,Eule,
Ampferknöterich,Ampfer,Knöterich,
Amphibienart,Amphibie,Art,20.0
Amphibienfahrzeug,Amphibie,Fahrzeug,20.0
Amphibienflugzeug,Amphibie,Flugzeug,23.0
Amphibienwanderung,Amphibie,Wanderung,
Amphitheater,amphi,Theater,16.0
Amplitudenmodulation,Amplitude,Modulation,22.0
Amtfrau,Amt,Frau,22.0
Amtmann,Amt,Mann,16.0
Amtsadel,Amt,Adel,
Amtsanmaßung,Amt,Anmaßung,19.0
Amtsantritt,Amt,Antritt,13.0
Amtsanwalt,Amt,Anwalt,20.0
Amtsanwaltschaft,Amt,Anwaltschaft,21.0
Amtsarzt,Amt,Arzt,16.0
Amtsaufgabe,Amt,Aufgabe,21.0
Amtsauflösung,Amt,Auflösung,
Amtsausübung,Amt,Ausübung,20.0
Amtsbefugnis,Amt,Befugnis,22.0
Amtsbeginn,Amt,Beginn,20.0
Amtsbereich,Amt,Bereich,19.0
Amtsbezeichnung,Amt,Bezeichnung,19.0
Amtsbezirk,Amt,Bezirk,18.0
Amtsblatt,Amt,Blatt,16.0
Amtsbonus,Amt,Bonus,19.0
Amtsbruder,Amt,Bruder,18.0
Amtschef,Amt,Chef,17.0
Amtsdauer,Amt,Dauer,16.0
Amtsdelikt,Amt,Delikt,21.0
Amtsdeutsch,Amt,Deutsch,18.0
Amtsdiener,Amt,Diener,21.0
Amtsdirektor,Amt,Direktor,17.0
Amtseid,Amt,Eid,17.0
Amtseinführung,Amt,Einführung,16.0
Amtseinsetzung,Amt,Einsetzung,19.0
Amtseinweisung,Amt,Einweisung,
Amtsende,Amt,Ende,21.0
Amtsenthebung,Amt,Enthebung,16.0
Amtsenthebungsverfahren,Amtsenthebung,Verfahren,16.0
Amtsführung,Amt,Führung,16.0
Amtsgebiet,Amt,Gebiet,
Amtsgebäude,Amt,Gebäude,17.0
Amtsgeheimnis,Amt,Geheimnis,18.0
Amtsgemeinde,Amt,Gemeinde,21.0
Amtsgericht,Amt,Gericht,12.0
Amtsgerichtsbezirk,Amtsgericht,Bezirk,21.0
Amtsgerichtsdirektor,Amtsgericht,Direktor,18.0
Amtsgerichtsgebäude,Amtsgericht,Gebäude,
Amtsgerichtsrat,Amtsgericht,Rat,21.0
Amtsgeschäft,Amt,Geschäft,16.0
Amtsgewalt,Amt,Gewalt,19.0
Amtsgruppe,Amt,Gruppe,24.0
Amtshaftung,Amt,Haftung,20.0
Amtshaftungsklage,Amtshaftung,Klage,20.0
Amtshandlung,Amt,Handlung,15.0
Amtshauptmann,Amt,Hauptmann,
Amtshauptmannschaft,Amt,Hauptmannschaft,22.0
Amtshaus,Amt,Haus,16.0
Amtshilfe,Amt,Hilfe,17.0
Amtshilfeersuchen,Amtshilfe,Ersuchen,21.0
Amtsinhaber,Amt,Inhaber,14.0
Amtsjahr,Amt,Jahr,16.0
Amtsjubiläum,Amt,Jubiläum,20.0
Amtskette,Amt,Kette,18.0
Amtskirche,Amt,Kirche,17.0
Amtskleidung,Amt,Kleidung,23.0
Amtskollege,Amt,Kollege,14.0
Amtsleiter,Amt,Leiter,15.0
Amtsleitung,Amt,Leitung,19.0
Amtsleute,Amt,Leute,21.0
Amtsmissbrauch,Amt,Missbrauch,
Amtsnachfolger,Amt,Nachfolger,18.0
Amtsniederlegung,Amt,Niederlegung,20.0
Amtsperiode,Amt,Periode,15.0
Amtsperson,Amt,Person,18.0
Amtspflicht,Amt,Pflicht,18.0
Amtspflichtverletzung,Amtspflicht,Verletzung,20.0
Amtsrat,Amt,Rat,18.0
Amtsraum,Amt,Raum,18.0
Amtsrichter,Amt,Richter,15.0
Amtsschimmel,Amt,Schimmel,18.0
Amtsschwester,Amt,Schwester,
Amtssiegel,Amt,Siegel,22.0
Amtssitz,Amt,Sitz,16.0
Amtssprache,Amt,Sprache,16.0
Amtsstadt,Amt,Stadt,
Amtsstelle,Amt,Stelle,18.0
Amtsstube,Amt,Stube,16.0
Amtsstunde,Amt,Stunde,19.0
Amtstag,Amt,Tag,18.0
Amtstierarzt,Amt,Tierarzt,17.0
Amtstitel,Amt,Titel,20.0
Amtstracht,Amt,Tracht,20.0
Amtsträger,Amt,Träger,16.0
Amtstätigkeit,Amt,Tätigkeit,19.0
Amtsunfähigkeit,Amt,Unfähigkeit,20.0
Amtsverhältnis,Amt,Verhältnis,23.0
Amtsverlust,Amt,Verlust,22.0
Amtsverschwiegenheit,Amt,Verschwiegenheit,20.0
Amtsverständnis,Amt,Verständnis,19.0
Amtsvertreter,Amt,Vertreter,21.0
Amtsverwaltung,Amt,Verwaltung,19.0
Amtsverweser,Amt,Verweser,22.0
Amtsverzicht,Amt,Verzicht,18.0
Amtsveterinär,Amt,Veterinär,21.0
Amtsvorgänger,Amt,Vorgänger,16.0
Amtsvormund,Amt,Vormund,19.0
Amtsvormundschaft,Amt,Vormundschaft,19.0
Amtsvorsteher,Amt,Vorsteher,19.0
Amtswechsel,Amt,Wechsel,19.0
Amtsweg,Amt,Weg,18.0
Amtswohnung,Amt,Wohnung,21.0
Amtszeit,Amt,Zeit,12.0
Amtszimmer,Amt,Zimmer,18.0
Amtszulage,Amt,Zulage,22.0
Amtsübergabe,Amt,Übergabe,17.0
Amtsübernahme,Amt,Übernahme,16.0
Amöbenruhr,Amöbe,Ruhr,22.0
Analbereich,anal,Bereich,
Analoganschluss,analog,Anschluss,
Analogiebildung,Analogie,Bildung,23.0
Analogieschluss,Analogie,Schluss,21.0
Analogkamera,analog,Kamera,
Analogrechner,analog,Rechner,24.0
Analogsignal,analog,Signal,
Analogsynthesizer,analog,Synthesizer,
Analogtechnik,analog,Technik,22.0
Analogtelefon,analog,Telefon,
Analoguhr,analog,Uhr,23.0
Analphabetenquote,Analphabet,Quote,21.0
Analphabetenrate,Analphabet,Rate,21.0
Analsex,anal,Sex,
Analverkehr,anal,Verkehr,
Analyseaufgabe,Analyse,Aufgabe,
Analyseergebnis,Analyse,Ergebnis,20.0
Analysefähigkeit,Analyse,Fähigkeit,21.0
Analysegerät,Analyse,Gerät,20.0
Analysemethode,Analyse,Methode,19.0
Analysemöglichkeit,Analyse,Möglichkeit,
Analysentechnik,Analyse,Technik,
Analyseverfahren,Analyse,Verfahren,20.0
Ananasfrucht,Ananas,Frucht,
Ananaspflanze,Ananas,Pflanze,
Ananassaft,Ananas,Saft,20.0
Ananasscheibe,Ananas,Scheibe,22.0
Ananaswürfel,Ananas,Würfel,
Anarchosyndikalismus,anarcho,Syndikalismus,23.0
Anbau,an,Bau,
Anbaufläche,Anbau,Fläche,16.0
Anbaugebiet,Anbau,Gebiet,15.0
Anbaugerät,Anbau,Gerät,
Anbauland,Anbau,Land,20.0
Anbaumethode,Anbau,Methode,19.0
Anbauplanung,Anbau,Planung,
Anbauprodukt,Anbau,Produkt,22.0
Anbauregion,Anbau,Region,20.0
Anbautechnik,Anbau,Technik,21.0
Anbauteil,Anbau,Teil,20.0
Anbauverband,Anbau,Verband,19.0
Anbauverfahren,Anbau,Verfahren,22.0
Anbauversuch,Anbau,Versuch,
Anbauwand,Anbau,Wand,22.0
Anbauweise,Anbau,Weise,
Anbeginn,an,Beginn,16.0
Anbetracht,an,Betracht,14.0
Anbietermarkt,Anbieter,Markt,22.0
Anbieterseite,Anbieter,Seite,21.0
Anbieterwechsel,Anbieter,Wechsel,
Anbindehaltung,anbinden,Haltung,
Anblick,an,Blick,
Andachtsbild,Andacht,Bild,20.0
Andachtsbuch,Andacht,Buch,22.0
Andachtsraum,Andacht,Raum,18.0
Andachtsstätte,Andacht,Stätte,21.0
Andenbär,Anden,Bär,
Andenhochland,Anden,Hochland,21.0
Andenkatze,Anden,Katze,
Andenken,an,Denken,14.0
Andenken,an,denken,
Andenkenladen,Andenken,Laden,20.0
Andenland,Anden,Land,20.0
Andenregion,Anden,Region,21.0
Andenstaat,Anden,Staat,19.0
Andersdenker,anders,Denker,
Andersgläubige,anders,Gläubige,
Andersgläubiger,anders,Gläubiger,
Anderssein,anders,Sein,17.0
Andockmanöver,andocken,Manöver,20.0
Andreaskreuz,Andreas,Kreuz,19.0
Andromedanebel,Andromeda,Nebel,21.0
Aneignungsprozess,Aneignung,Prozess,
Anekdotensammlung,Anekdote,Sammlung,21.0
Anemonenfisch,Anemone,Fisch,
Anerkennungsjahr,Anerkennung,Jahr,19.0
Anerkennungspraktikum,Anerkennung,Praktikum,
Anerkennungspreis,Anerkennung,Preis,17.0
Anerkennungsprämie,Anerkennung,Prämie,20.0
Anerkennungsquote,Anerkennung,Quote,19.0
Anerkennungsschreiben,Anerkennung,Schreiben,21.0
Anerkennungsurkunde,Anerkennung,Urkunde,19.0
Anerkennungsverfahren,Anerkennung,Verfahren,19.0
Anfahrhilfe,anfahren,Hilfe,21.0
Anfahrtsbeschreibung,Anfahrt,Beschreibung,
Anfahrtstrecke,Anfahrt,Strecke,
Anfahrtsweg,Anfahrt,Weg,17.0
Anfahrtszeit,Anfahrt,Zeit,19.0
Anfallsleiden,Anfall,Leiden,22.0
Anfangsbedingung,Anfang,Bedingung,21.0
Anfangsbestand,Anfang,Bestand,22.0
Anfangsbuchstabe,Anfang,Buchstabe,17.0
Anfangsdatum,Anfang,Datum,22.0
Anfangserfolg,Anfang,Erfolg,19.0
Anfangseuphorie,Anfang,Euphorie,20.0
Anfangsformation,Anfang,Formation,16.0
Anfangsgehalt,Anfang,Gehalt,19.0
Anfangsgeschwindigkeit,Anfang,Geschwindigkeit,22.0
Anfangsidee,Anfang,Idee,
Anfangsinvestition,Anfang,Investition,19.0
Anfangsjahr,Anfang,Jahr,16.0
Anfangskapital,Anfang,Kapital,20.0
Anfangskosten,Anfang,Kosten,22.0
Anfangsminute,Anfang,Minute,18.0
Anfangsmonat,Anfang,Monat,22.0
Anfangsnervosität,Anfang,Nervosität,20.0
Anfangsphase,Anfang,Phase,14.0
Anfangsposition,Anfang,Position,23.0
Anfangsproblem,Anfang,Problem,19.0
Anfangspunkt,Anfang,Punkt,20.0
Anfangssatz,Anfang,Satz,21.0
Anfangsschwierigkeit,Anfang,Schwierigkeit,18.0
Anfangssequenz,Anfang,Sequenz,20.0
Anfangssilbe,Anfang,Silbe,23.0
Anfangsstadium,Anfang,Stadium,18.0
Anfangsstellung,Anfang,Stellung,23.0
Anfangsszene,Anfang,Szene,20.0
Anfangstag,Anfang,Tag,18.0
Anfangsteil,Anfang,Teil,
Anfangstempo,Anfang,Tempo,19.0
Anfangsthema,Anfang,Thema,22.0
Anfangsunterricht,Anfang,Unterricht,22.0
Anfangsverdacht,Anfang,Verdacht,16.0
Anfangsverlust,Anfang,Verlust,20.0
Anfangswert,Anfang,Wert,21.0
Anfangswort,Anfang,Wort,21.0
Anfangszeile,Anfang,Zeile,21.0
Anfangszeit,Anfang,Zeit,16.0
Anfangszustand,Anfang,Zustand,22.0
Anfechtungsgrund,Anfechtung,Grund,22.0
Anfechtungsklage,Anfechtung,Klage,18.0
Anfeuerungsruf,Anfeuerung,Ruf,18.0
Anflug,an,Flug,
Anforderungsanalyse,Anforderung,Analyse,
Anforderungsdefinition,Anforderung,Definition,
Anforderungskatalog,Anforderung,Katalog,20.0
Anforderungsniveau,Anforderung,Niveau,21.0
Anforderungsprofil,Anforderung,Profil,16.0
Anfrageschreiben,anfragen,Schreiben,
Anfängerfehler,Anfänger,Fehler,19.0
Anfängergruppe,Anfänger,Gruppe,19.0
Anfängerkurs,Anfänger,Kurs,16.0
Anfängerschwimmen,Anfänger,Schwimmen,
Anfängertraining,Anfänger,Training,19.0
Anführer,an,Führer,
Anführungsstrich,Anführung,Strich,20.0
Anführungszeichen,Anführung,Zeichen,18.0
Angeberauto,Angeber,Auto,
Angebotsabgabe,Angebot,Abgabe,21.0
Angebotsausweitung,Angebot,Ausweitung,
Angebotsbearbeitung,Angebot,Bearbeitung,
Angebotsbreite,Angebot,Breite,22.0
Angebotsentwurf,Angebot,Entwurf,
Angebotserweiterung,Angebot,Erweiterung,20.0
Angebotsfrist,Angebot,Frist,19.0
Angebotsgestaltung,Angebot,Gestaltung,
Angebotskatalog,Angebot,Katalog,21.0
Angebotslage,Angebot,Lage,
Angebotsliste,Angebot,Liste,20.0
Angebotslücke,Angebot,Lücke,20.0
Angebotsmenge,Angebot,Menge,22.0
Angebotspaket,Angebot,Paket,19.0
Angebotspalette,Angebot,Palette,16.0
Angebotspolitik,Angebot,Politik,20.0
Angebotspreis,Angebot,Preis,18.0
Angebotsseite,Angebot,Seite,19.0
Angebotssituation,Angebot,Situation,
Angebotsspektrum,Angebot,Spektrum,19.0
Angebotsstruktur,Angebot,Struktur,20.0
Angebotssumme,Angebot,Summe,
Angebotsverbesserung,Angebot,Verbesserung,20.0
Angebotsvergleich,Angebot,Vergleich,
Angebotsverknappung,Angebot,Verknappung,21.0
Angebotsvielfalt,Angebot,Vielfalt,19.0
Angebotsüberhang,Angebot,Überhang,20.0
Angehörigenbetreuung,Angehörige,Betreuung,
Angelausflug,angeln,Ausflug,21.0
Angelbissen,Angel,Bissen,
Angelerlaubnis,angeln,Erlaubnis,
Angelfischerei,Angel,Fischerei,21.0
Angelgerät,Angel,Gerät,21.0
Angelhaken,Angel,Haken,19.0
Angelkarte,angeln,Karte,22.0
Angelköder,Angel,Köder,24.0
Angelleine,Angel,Leine,24.0
Angelmethode,angeln,Methode,
Angelplatz,Angel,Platz,21.0
Angelpunkt,Angel,Punkt,16.0
Angelrute,Angel,Rute,19.0
Angelschein,angeln,Schein,20.0
Angelschnur,Angel,Schnur,19.0
Angelspiel,Angel,Spiel,20.0
Angelsport,Angel,Sport,19.0
Angelsportverein,Angelsport,Verein,16.0
Angelteich,angeln,Teich,
Angelurlaub,Angel,Urlaub,22.0
Angelusgebet,Angelus,Gebet,
Angelusläuten,Angelus,Läuten,23.0
Angelverbot,angeln,Verbot,
Angelverein,Angel,Verein,18.0
Angelzeug,angeln,Zeug,
Angelzubehör,angeln,Zubehör,
Angerdorf,Anger,Dorf,22.0
Angestelltendasein,Angestellte,Dasein,21.0
Angestelltengewerkschaft,Angestellte,Gewerkschaft,19.0
Angestelltenverband,Angestellte,Verband,
Angestelltenverhältnis,Angestellte,Verhältnis,18.0
Anglerausrüstung,Angler,Ausrüstung,
Anglerbedarf,Angler,Bedarf,
Anglerfisch,Angler,Fisch,23.0
Anglerglück,Angler,Glück,21.0
Anglerlatein,Angler,Latein,21.0
Anglerverein,Angler,Verein,19.0
Angloamerikaner,anglo,Amerikaner,22.0
Angorakaninchen,Angora,Kaninchen,23.0
Angorakatze,Angora,Katze,23.0
Angorawolle,Angora,Wolle,23.0
Angoraziege,Angora,Ziege,23.0
Angriffsbefehl,Angriff,Befehl,20.0
Angriffsbemühung,Angriff,Bemühung,17.0
Angriffsdruck,Angriff,Druck,21.0
Angriffsfall,Angriff,Fall,22.0
Angriffsflug,Angriff,Flug,22.0
Angriffsflugzeug,Angriff,Flugzeug,23.0
Angriffsfläche,Angriff,Fläche,17.0
Angriffsformation,Angriff,Formation,20.0
Angriffsfußball,Angriff,Fußball,18.0
Angriffshandlung,Angriff,Handlung,21.0
Angriffshubschrauber,Angriff,Hubschrauber,23.0
Angriffskraft,Angriff,Kraft,
Angriffskrieg,Angriff,Krieg,
Angriffslinie,Angriff,Linie,20.0
Angriffslust,Angriff,Lust,18.0
Angriffsmethode,Angriff,Methode,
Angriffsmöglichkeit,Angriff,Möglichkeit,21.0
Angriffsoperation,Angriff,Operation,22.0
Angriffsplan,Angriff,Plan,19.0
Angriffsposition,Angriff,Position,21.0
Angriffspunkt,Angriff,Punkt,18.0
Angriffsreihe,Angriff,Reihe,18.0
Angriffsschlag,Angriff,Schlag,20.0
Angriffsseite,Angriff,Seite,19.0
Angriffsspiel,Angriff,Spiel,16.0
Angriffsspieler,Angriff,Spieler,19.0
Angriffsstil,Angriff,Stil,
Angriffsszenario,Angriff,Szenario,
Angriffsszenarium,Angriff,Szenarium,
Angriffstag,Angriff,Tag,
Angriffstaktik,Angriff,Taktik,22.0
Angriffstechnik,Angriff,Technik,
Angriffsverband,Angriff,Verband,
Angriffsverhalten,Angriff,Verhalten,
Angriffsversuch,Angriff,Versuch,19.0
Angriffswaffe,Angriff,Waffe,
Angriffswelle,Angriff,Welle,18.0
Angriffswirbel,Angriff,Wirbel,19.0
Angriffsziel,Angriff,Ziel,18.0
Angriffszug,Angriff,Zug,20.0
Angstabbau,Angst,Abbau,22.0
Angstanfall,Angst,Anfall,21.0
Angstattacke,Angst,Attacke,20.0
Angstbewältigung,Angst,Bewältigung,22.0
Angsterkrankung,Angst,Erkrankung,20.0
Angstgefühl,Angst,Gefühl,19.0
Angstgegner,Angst,Gegner,15.0
Angsthase,Angst,Hase,18.0
Angstkampagne,Angst,Kampagne,20.0
Angstlust,Angst,Lust,20.0
Angstmache,Angst,Mache,
Angstmacher,Angst,Macher,19.0
Angstneurose,Angst,Neurose,21.0
Angstpatient,Angst,Patient,20.0
Angstreaktion,Angst,Reaktion,21.0
Angstschrei,Angst,Schrei,21.0
Angstschweiß,Angst,Schweiß,18.0
Angstsituation,Angst,Situation,21.0
Angststörung,Angst,Störung,18.0
Angsttraum,Angst,Traum,20.0
Angstzustand,Angst,Zustand,17.0
Anhaltelager,anhalten,Lager,23.0
Anhalteweg,anhalten,Weg,19.0
Anhaltspunkt,Anhalt,Punkt,14.0
Anhängerkupplung,Anhänger,Kupplung,19.0
Anhängerschar,Anhänger,Schar,19.0
Anhängerzahl,Anhänger,Zahl,23.0
Anhöhe,an,Höhe,16.0
Anhörungsbehörde,Anhörung,Behörde,22.0
Anhörungsbogen,Anhörung,Bogen,21.0
Anhörungsrecht,Anhörung,Recht,19.0
Anhörungstermin,Anhörung,Termin,20.0
Anhörungsverfahren,Anhörung,Verfahren,18.0
Anilinfarbe,Anilin,Farbe,23.0
Animationsfilm,Animation,Film,16.0
Animationsprogramm,Animation,Programm,19.0
Animationsstudio,Animation,Studio,
Animationstechnik,Animation,Technik,21.0
Anisgeschmack,Anis,Geschmack,
Anisplätzchen,Anis,Plätzchen,22.0
Anisschnaps,Anis,Schnaps,21.0
Anisöl,Anis,Öl,23.0
Ankaufspreis,Ankauf,Preis,20.0
Ankereinrichtung,Anker,Einrichtung,
Ankergeschirr,Anker,Geschirr,
Ankerkette,Anker,Kette,20.0
Ankerkreuz,Anker,Kreuz,
Ankermast,Anker,Mast,22.0
Ankermieter,Anker,Mieter,
Ankerplatz,Anker,Platz,18.0
Ankerpunkt,Anker,Punkt,21.0
Ankertau,Anker,Tau,24.0
Ankerwährung,Anker,Währung,21.0
Anklagebank,Anklage,Bank,15.0
Anklagebehörde,Anklage,Behörde,16.0
Anklageerhebung,Anklage,Erhebung,17.0
Anklagekammer,Anklage,Kammer,19.0
Anklagepunkt,Anklage,Punkt,16.0
Anklageschrift,Anklage,Schrift,15.0
Anklagevertreter,Anklage,Vertreter,17.0
Anklagevertretung,Anklage,Vertretung,19.0
Anklagevorwurf,Anklage,Vorwurf,18.0
Ankleideraum,ankleiden,Raum,22.0
Ankleidezimmer,ankleiden,Zimmer,21.0
Anknüpfungspunkt,Anknüpfung,Punkt,17.0
Ankunftsebene,Ankunft,Ebene,
Ankunftsflugplan,Ankunft,Flugplan,
Ankunftsgleis,Ankunft,Gleis,
Ankunftshalle,Ankunft,Halle,
Ankunftsort,Ankunft,Ort,21.0
Ankunftstag,Ankunft,Tag,20.0
Ankunftstermin,Ankunft,Termin,23.0
Ankunftszeit,Ankunft,Zeit,18.0
Ankündigungspolitik,Ankündigung,Politik,20.0
Ankündigungstext,Ankündigung,Text,21.0
Anlagealternative,Anlage,Alternative,20.0
Anlageart,Anlage,Art,22.0
Anlageausschuss,Anlage,Ausschuss,22.0
Anlageberater,Anlage,Berater,17.0
Anlageberatung,Anlage,Beratung,18.0
Anlagebetrag,Anlage,Betrag,20.0
Anlagebetrug,Anlage,Betrug,19.0
Anlagebetrüger,Anlage,Betrüger,20.0
Anlagedauer,Anlage,Dauer,20.0
Anlageentscheidung,Anlage,Entscheidung,19.0
Anlageerfolg,Anlage,Erfolg,20.0
Anlageergebnis,Anlage,Ergebnis,21.0
Anlageexperte,Anlage,Experte,20.0
Anlagefonds,Anlage,Fonds,
Anlageform,Anlage,Form,16.0
Anlagegeld,Anlage,Geld,20.0
Anlagegeschäft,Anlage,Geschäft,19.0
Anlagegesellschaft,Anlage,Gesellschaft,19.0
Anlagegrundsatz,Anlage,Grundsatz,22.0
Anlagegut,Anlage,Gut,20.0
Anlageinvestition,Anlage,Investition,20.0
Anlagekapital,Anlage,Kapital,19.0
Anlagemarkt,Anlage,Markt,21.0
Anlagemöglichkeit,Anlage,Möglichkeit,18.0
Anlagenbau,Anlage,Bau,16.0
Anlagenbauer,Anlage,Bauer,17.0
Anlagenbetreiber,Anlage,Betreiber,19.0
Anlagenbetrieb,Anlage,Betrieb,22.0
Anlagenfahrer,Anlage,Fahrer,22.0
Anlagenführung,Anlage,Führung,
Anlagengröße,Anlage,Größe,
Anlagenhersteller,Anlage,Hersteller,21.0
Anlagenkomponente,Anlage,Komponente,
Anlagenmechaniker,Anlage,Mechaniker,19.0
Anlagenmonteur,Anlage,Monteur,22.0
Anlagensicherheit,Anlage,Sicherheit,21.0
Anlagenstillstand,Anlage,Stillstand,
Anlagensystem,Anlage,System,
Anlagentechnik,Anlage,Technik,18.0
Anlagenteil,Anlage,Teil,19.0
Anlagenzustand,Anlage,Zustand,
Anlageobjekt,Anlage,Objekt,19.0
Anlagepolitik,Anlage,Politik,19.0
Anlageprodukt,Anlage,Produkt,19.0
Anlagestil,Anlage,Stil,
Anlagestrategie,Anlage,Strategie,17.0
Anlagesumme,Anlage,Summe,20.0
Anlageverhalten,Anlage,Verhalten,20.0
Anlagevermögen,Anlage,Vermögen,17.0
Anlagevolumen,Anlage,Volumen,20.0
Anlagewert,Anlage,Wert,21.0
Anlageziel,Anlage,Ziel,20.0
Anlagezins,Anlage,Zins,
Anlaufadresse,Anlauf,Adresse,20.0
Anlaufkosten,Anlauf,Kosten,19.0
Anlaufphase,Anlauf,Phase,18.0
Anlaufproblem,Anlauf,Problem,19.0
Anlaufpunkt,Anlauf,Punkt,16.0
Anlaufschwierigkeit,Anlauf,Schwierigkeit,16.0
Anlaufspur,Anlauf,Spur,
Anlaufstation,Anlauf,Station,18.0
Anlaufstelle,Anlauf,Stelle,14.0
Anlaufverlust,Anlauf,Verlust,18.0
Anlaufzeit,Anlauf,Zeit,17.0
Anlegemanöver,anlegen,Manöver,21.0
Anlegemöglichkeit,anlegen,Möglichkeit,
Anlegeplatz,anlegen,Platz,20.0
Anlegeranwalt,Anleger,Anwalt,
Anlegerschutz,Anleger,Schutz,18.0
Anlegesteg,anlegen,Steg,20.0
Anlegestelle,anlegen,Stelle,17.0
Anlehnungsbedürfnis,Anlehnung,Bedürfnis,22.0
Anleihe,an,Leihe,14.0
Anleiheemission,Anleihe,Emission,21.0
Anleihenkurs,Anleihe,Kurs,
Anleihenmarkt,Anleihe,Markt,19.0
